# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.458585;0;0.510669;0;0;0;0.510669;
2;0;0.458585;0;0.510669;0;0;0;0.510669;
3;0;0.458585;0;0.510669;0;0;0;0.510669;
4;0;0.458585;0;0.510669;0;0;0;0.510669;
5;0;0.458585;0;0.510669;0;0;0;0.510669;
6;0;0.457725;0;0.510073;0;0;0;0.510073;
7;0;0.457725;0;0.510073;0;0;0;0.510073;
8;0;0.457725;0;0.510073;0;0;0;0.510073;
9;0;0.457725;0;0.510073;0;0;0;0.510073;
10;0;0.457725;0;0.510073;0;0;0;0.510073;
11;0;0.457237;0.00140625;0.509429;0.003125;0;-0.00171875;0.509429;
12;0;0.457237;0;0.509429;0;0;0;0.509429;
13;0;0.457237;0;0.509429;0;0;0;0.509429;
14;0;0.457237;0;0.509429;0;0;0;0.509429;
15;0;0.457237;0;0.509429;0;0;0;0.509429;
16;0;0.456433;0;0.508841;0;0;0;0.508841;
17;0;0.456433;0;0.508841;0;0;0;0.508841;
18;0;0.456433;0;0.508841;0;0;0;0.508841;
19;0;0.456433;0;0.508841;0;0;0;0.508841;
20;0;0.455691;0;0.508208;0;0;0;0.508208;
21;0;0.455691;0.0084375;0.508208;0.011875;0;-0.0034375;0.508208;
22;0;0.455691;0;0.508208;0;0;0;0.508208;
23;0;0.455691;0;0.508208;0;0;0;0.508208;
24;0;0.454248;0;0.507516;0;0;0;0.507516;
25;0;0.454248;0.0028125;0.507516;0.006875;0;-0.0040625;0.507516;
26;0;0.454248;0;0.507516;0;0;0;0.507516;
27;0;0.454248;0;0.507516;0;0;0;0.507516;
28;0;0.454291;0;0.506797;0;0;0;0.506797;
29;0;0.454291;0.005625;0.506797;0.014375;0;-0.00875;0.506797;
30;0;0.454291;0;0.506797;0;0;0;0.506797;
31;0;0.453854;0;0.506046;0;0;0;0.506046;
32;0;0.453854;0;0.506046;0;0;0;0.506046;
33;0;0.453854;0;0.506046;0;0;0;0.506046;
34;0;0.453826;0;0.505309;0;0;0;0.505309;
35;0;0.453826;0;0.505309;0;0;0;0.505309;
36;0;0.453826;0.00421875;0.505309;0.0075;0;-0.00328125;0.505309;
37;0;0.452934;0;0.50454;0;0;0;0.50454;
38;0;0.452934;0;0.50454;0;0;0;0.50454;
39;0;0.452934;0;0.50454;0;0;0;0.50454;
40;0;0.452041;0;0.503731;0;0;0;0.503731;
41;0;0.452041;0;0.503731;0;0;0;0.503731;
42;0;0.451141;0.00703125;0.502881;0.008125;0;-0.00109375;0.502881;
43;0;0.451141;0;0.502881;0;0;0;0.502881;
44;0;0.451141;0;0.502881;0;0;0;0.502881;
45;0;0.450229;0.00140625;0.501986;0.003125;0;-0.00171875;0.501986;
46;0;0.450229;0;0.501986;0;0;0;0.501986;
47;0;0.449339;0;0.501091;0.003125;0;-0.003125;0.501091;
48;0;0.449339;0;0.501091;0;0;0;0.501091;
49;0;0.447521;0;0.500111;0;0;0;0.500111;
50;0;0.447521;0.00140625;0.500111;0.008125;0;-0.00671875;0.500111;
51;0;0.446154;0;0.499103;0;0;0;0.499103;
52;0;0.446154;0.005625;0.499103;0.00875;0;-0.003125;0.499103;
53;0;0.445168;0;0.498087;0;0;0;0.498087;
54;0;0.445168;0.0084375;0.498087;0.015;0;-0.0065625;0.498087;
55;0;0.444889;0;0.496973;0;0;0;0.496973;
56;0;0.444889;0.00984375;0.496973;0.01375;0;-0.00390625;0.496973;
57;0;0.444693;0;0.495907;0;0;0;0.495907;
58;0;0.444688;0.0084375;0.494676;0.01;0;-0.0015625;0.494676;
59;0;0.444688;0;0.494676;0;0;0;0.494676;
60;0;0.443253;0;0.493577;0;0;0;0.493577;
61;0;0.441375;0;0.492383;0;0;0;0.492383;
62;0;0.441375;0;0.492383;0;0;0;0.492383;
63;0;0.43953;0;0.491091;0;0;0;0.491091;
64;0;0.438874;0;0.489847;0;0;0;0.489847;
65;0;0.437619;0.00140625;0.488693;0.005625;0;-0.00421875;0.488693;
66;0;0.435008;0.00140625;0.487426;0.006875;0;-0.00546875;0.487426;
67;0;0.435008;0;0.487426;0;0;0;0.487426;
68;0;0.434434;0.0028125;0.486174;0.0125;0;-0.0096875;0.486174;
69;0;0.433808;0.0084375;0.484917;0.0175;0;-0.0090625;0.484917;
70;0;0.434208;0.00703125;0.483718;0.02;0;-0.0129688;0.483718;
71;0.00196875;0.432836;0.016875;0.482514;0.024375;0;-0.0075;0.482514;
72;0;0.431931;0;0.481347;0;0;0;0.481347;
73;0;0.430641;0.0126563;0.480068;0.016875;0;-0.00421875;0.480068;
74;0;0.429198;0.0028125;0.478891;0.005625;0;-0.0028125;0.478891;
75;0;0.426051;0;0.476491;0;0;0;0.476491;
76;0;0.424618;0.0028125;0.47538;0.006875;0;-0.0040625;0.47538;
77;0;0.424628;0.00421875;0.474178;0.01;0;-0.00578125;0.474178;
78;0;0.424238;0.0143438;0.47189;0.029375;0;-0.0150313;0.47189;
79;0;0.423477;0.00703125;0.470699;0.02125;0;-0.0142187;0.470699;
80;0;0.420857;0.014625;0.468203;0.035;0;-0.020375;0.468203;
81;0;0.419296;0.00984375;0.467059;0.016875;0;-0.00703125;0.467059;
82;0;0.416317;0.0028125;0.464387;0.005625;0;-0.0028125;0.464387;
83;0;0.413363;0.00140625;0.461551;0.003125;0;-0.00171875;0.461551;
84;0;0.413316;0.00140625;0.460191;0.003125;0;-0.00171875;0.460191;
85;0;0.412569;0.00984375;0.457325;0.020625;0;-0.0107812;0.457325;
86;0;0.408577;0.005625;0.454128;0.0125;0;-0.006875;0.454128;
87;0;0.402318;0.01125;0.449153;0.03;0;-0.01875;0.449153;
88;0;0.398997;0.00984375;0.445593;0.016875;0;-0.00703125;0.445593;
89;0;0.398713;0.00140625;0.441951;0.005625;0;-0.00421875;0.441951;
90;0;0.39326;0.00421875;0.436322;0.009375;0;-0.00515625;0.436322;
91;0;0.386823;0.016875;0.43051;0.033125;0;-0.01625;0.43051;
92;0;0.381817;0.0264375;0.424512;0.045;0;-0.0185625;0.424512;
93;0;0.378067;0.0210937;0.418175;0.03625;0;-0.0151562;0.418175;
94;0;0.367039;0.00421875;0.408824;0.011875;0;-0.00765625;0.408824;
95;0;0.360181;0.0323437;0.401317;0.04125;0;-0.00890625;0.401317;
96;0;0.348713;0.0225;0.387808;0.04625;0;-0.02375;0.387808;
97;0;0.33326;0.0210937;0.375995;0.04375;0;-0.0226563;0.375995;
98;0;0.324153;0.0084375;0.360465;0.014375;0;-0.0059375;0.360465;
99;0.00059375;0.303401;0.045;0.343906;0.055;0;-0.01;0.343906;
100;0;0.291395;0.03375;0.323353;0.045625;0;-0.011875;0.323353;
101;0.000625;0.271141;0.0295312;0.301755;0.04625;0;-0.0167187;0.301755;
102;0.0015;0.23498;0.0590625;0.270711;0.065;0;-0.0059375;0.270711;
103;0;0.208622;0.02925;0.237931;0.0375;0;-0.00825;0.237931;
104;0.00059375;0.172919;0.0604688;0.199661;0.066875;0;-0.00640625;0.199661;
