# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.458585;0;0.510669;0;0;0;0.510669;
2;0;0.458585;0;0.510669;0;0;0;0.510669;
3;0;0.458585;0;0.510669;0;0;0;0.510669;
4;0;0.458585;0;0.510669;0;0;0;0.510669;
5;0;0.458585;0;0.510669;0;0;0;0.510669;
6;0;0.458585;0;0.510669;0;0;0;0.510669;
7;0;0.458585;0;0.510669;0;0;0;0.510669;
8;0;0.458585;0;0.510669;0;0;0;0.510669;
9;0;0.458585;0;0.510669;0;0;0;0.510669;
10;0;0.458585;0;0.510669;0;0;0;0.510669;
11;0;0.458585;0;0.510669;0;0;0;0.510669;
12;0;0.457725;0;0.510073;0;0;0;0.510073;
13;0;0.457725;0;0.510073;0;0;0;0.510073;
14;0;0.457725;0;0.510073;0;0;0;0.510073;
15;0;0.457725;0;0.510073;0;0;0;0.510073;
16;0;0.457725;0;0.510073;0;0;0;0.510073;
17;0;0.457725;0.00140625;0.510073;0.003125;0;-0.00171875;0.510073;
18;0;0.457725;0;0.510073;0;0;0;0.510073;
19;0;0.457725;0;0.510073;0;0;0;0.510073;
20;0;0.457725;0;0.510073;0;0;0;0.510073;
21;0;0.457725;0;0.510073;0;0;0;0.510073;
22;0;0.457237;0;0.509429;0;0;0;0.509429;
23;0;0.457237;0;0.509429;0;0;0;0.509429;
24;0;0.457237;0;0.509429;0;0;0;0.509429;
25;0;0.457237;0;0.509429;0;0;0;0.509429;
26;0;0.457237;0;0.509429;0;0;0;0.509429;
27;0;0.457237;0;0.509429;0;0;0;0.509429;
28;0;0.457237;0;0.509429;0;0;0;0.509429;
29;0;0.457237;0;0.509429;0;0;0;0.509429;
30;0;0.457237;0;0.509429;0;0;0;0.509429;
31;0;0.456433;0;0.508841;0;0;0;0.508841;
32;0;0.456433;0;0.508841;0;0;0;0.508841;
33;0;0.456433;0;0.508841;0;0;0;0.508841;
34;0;0.456433;0;0.508841;0;0;0;0.508841;
35;0;0.456433;0;0.508841;0;0;0;0.508841;
36;0;0.456433;0.0084375;0.508841;0.011875;0;-0.0034375;0.508841;
37;0;0.456433;0;0.508841;0;0;0;0.508841;
38;0;0.456433;0;0.508841;0;0;0;0.508841;
39;0;0.456433;0;0.508841;0;0;0;0.508841;
40;0;0.455691;0;0.508208;0;0;0;0.508208;
41;0;0.455691;0;0.508208;0;0;0;0.508208;
42;0;0.455691;0;0.508208;0;0;0;0.508208;
43;0;0.455691;0;0.508208;0;0;0;0.508208;
44;0;0.455691;0;0.508208;0;0;0;0.508208;
45;0;0.455691;0.0028125;0.508208;0.006875;0;-0.0040625;0.508208;
46;0;0.455691;0;0.508208;0;0;0;0.508208;
47;0;0.454248;0;0.507516;0;0;0;0.507516;
48;0;0.454248;0;0.507516;0;0;0;0.507516;
49;0;0.454248;0;0.507516;0;0;0;0.507516;
50;0;0.454248;0;0.507516;0;0;0;0.507516;
51;0;0.454248;0;0.507516;0;0;0;0.507516;
52;0;0.454248;0.005625;0.507516;0.014375;0;-0.00875;0.507516;
53;0;0.454248;0;0.507516;0;0;0;0.507516;
54;0;0.454248;0;0.507516;0;0;0;0.507516;
55;0;0.454291;0;0.506797;0;0;0;0.506797;
56;0;0.454291;0;0.506797;0;0;0;0.506797;
57;0;0.454291;0;0.506797;0;0;0;0.506797;
58;0;0.454291;0;0.506797;0;0;0;0.506797;
59;0;0.454291;0;0.506797;0;0;0;0.506797;
60;0;0.454291;0;0.506797;0;0;0;0.506797;
61;0;0.454291;0;0.506797;0;0;0;0.506797;
62;0;0.453854;0;0.506046;0;0;0;0.506046;
63;0;0.453854;0;0.506046;0;0;0;0.506046;
64;0;0.453854;0;0.506046;0;0;0;0.506046;
65;0;0.453854;0;0.506046;0;0;0;0.506046;
66;0;0.453854;0;0.506046;0;0;0;0.506046;
67;0;0.453854;0.00421875;0.506046;0.0075;0;-0.00328125;0.506046;
68;0;0.453826;0;0.505309;0;0;0;0.505309;
69;0;0.453826;0;0.505309;0;0;0;0.505309;
70;0;0.453826;0;0.505309;0;0;0;0.505309;
71;0;0.453826;0;0.505309;0;0;0;0.505309;
72;0;0.453826;0;0.505309;0;0;0;0.505309;
73;0;0.453826;0;0.505309;0;0;0;0.505309;
74;0;0.452934;0;0.50454;0;0;0;0.50454;
75;0;0.452934;0;0.50454;0;0;0;0.50454;
76;0;0.452934;0;0.50454;0;0;0;0.50454;
77;0;0.452934;0;0.50454;0;0;0;0.50454;
78;0;0.452934;0;0.50454;0;0;0;0.50454;
79;0;0.452041;0.00703125;0.503731;0.008125;0;-0.00109375;0.503731;
80;0;0.452041;0;0.503731;0;0;0;0.503731;
81;0;0.452041;0;0.503731;0;0;0;0.503731;
82;0;0.452041;0;0.503731;0;0;0;0.503731;
83;0;0.452041;0;0.503731;0;0;0;0.503731;
84;0;0.451141;0.00140625;0.502881;0.003125;0;-0.00171875;0.502881;
85;0;0.451141;0;0.502881;0;0;0;0.502881;
86;0;0.451141;0;0.502881;0;0;0;0.502881;
87;0;0.451141;0;0.502881;0;0;0;0.502881;
88;0;0.451141;0;0.502881;0;0;0;0.502881;
89;0;0.450229;0;0.501986;0.003125;0;-0.003125;0.501986;
90;0;0.450229;0;0.501986;0;0;0;0.501986;
91;0;0.450229;0;0.501986;0;0;0;0.501986;
92;0;0.450229;0;0.501986;0;0;0;0.501986;
93;0;0.450229;0;0.501986;0;0;0;0.501986;
94;0;0.449339;0.00140625;0.501091;0.008125;0;-0.00671875;0.501091;
95;0;0.449339;0;0.501091;0;0;0;0.501091;
96;0;0.449339;0;0.501091;0;0;0;0.501091;
97;0;0.449339;0;0.501091;0;0;0;0.501091;
98;0;0.447521;0;0.500111;0;0;0;0.500111;
99;0;0.447521;0.005625;0.500111;0.00875;0;-0.003125;0.500111;
100;0;0.447521;0;0.500111;0;0;0;0.500111;
101;0;0.447521;0;0.500111;0;0;0;0.500111;
102;0;0.446154;0;0.499103;0;0;0;0.499103;
103;0;0.446154;0.0084375;0.499103;0.015;0;-0.0065625;0.499103;
104;0;0.446154;0;0.499103;0;0;0;0.499103;
105;0;0.446154;0;0.499103;0;0;0;0.499103;
106;0;0.445168;0;0.498087;0;0;0;0.498087;
107;0;0.445168;0.00984375;0.498087;0.01375;0;-0.00390625;0.498087;
108;0;0.445168;0;0.498087;0;0;0;0.498087;
109;0;0.444889;0;0.496973;0;0;0;0.496973;
110;0;0.444889;0;0.496973;0;0;0;0.496973;
111;0;0.444889;0.0084375;0.496973;0.01;0;-0.0015625;0.496973;
112;0;0.444889;0;0.496973;0;0;0;0.496973;
113;0;0.444693;0;0.495907;0;0;0;0.495907;
114;0;0.444693;0;0.495907;0;0;0;0.495907;
115;0;0.444693;0;0.495907;0;0;0;0.495907;
116;0;0.444688;0;0.494676;0;0;0;0.494676;
117;0;0.444688;0;0.494676;0;0;0;0.494676;
118;0;0.444688;0;0.494676;0;0;0;0.494676;
119;0;0.443253;0;0.493577;0;0;0;0.493577;
120;0;0.443253;0;0.493577;0;0;0;0.493577;
