# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.980581;0;0.981096;0;0;0;0.981096;
2;0;0.980581;0;0.981096;0;0;0;0.981096;
3;0;0.980581;0;0.981096;0;0;0;0.981096;
4;0;0.978939;0;0.979711;0;0;0;0.979711;
5;0;0.978939;0;0.979711;0;0;0;0.979711;
6;0;0.978939;0.005625;0.979711;0.0075;0;-0.001875;0.979711;
7;0;0.978939;0;0.979711;0;0;0;0.979711;
8;0;0.978939;0;0.979711;0;0;0;0.979711;
9;0;0.978939;0.01125;0.979711;0.0175;0;-0.00625;0.979711;
10;0;0.978939;0;0.979711;0;0;0;0.979711;
11;0;0.978939;0;0.979711;0;0;0;0.979711;
12;0;0.978939;0;0.979711;0;0;0;0.979711;
13;0;0.978939;0;0.979711;0;0;0;0.979711;
14;0;0.978939;0;0.979711;0;0;0;0.979711;
15;0;0.978939;0;0.979711;0;0;0;0.979711;
16;0;0.978939;0;0.979711;0;0;0;0.979711;
17;0;0.978939;0;0.979711;0;0;0;0.979711;
18;0;0.978939;0;0.979711;0;0;0;0.979711;
19;0;0.978939;0;0.979711;0;0;0;0.979711;
20;0;0.978939;0;0.979711;0;0;0;0.979711;
21;0;0.978939;0;0.979711;0;0;0;0.979711;
22;0;0.978939;0;0.979711;0;0;0;0.979711;
23;0;0.978939;0;0.979711;0;0;0;0.979711;
24;0;0.978939;0;0.979711;0;0;0;0.979711;
25;0;0.977466;0;0.978282;0;0;0;0.978282;
26;0;0.977466;0;0.978282;0;0;0;0.978282;
27;0;0.977466;0;0.978282;0;0;0;0.978282;
28;0;0.977466;0;0.978282;0;0;0;0.978282;
29;0;0.977466;0;0.978282;0;0;0;0.978282;
30;0;0.977466;0.00703125;0.978282;0.008125;0;-0.00109375;0.978282;
31;0;0.977466;0;0.978282;0;0;0;0.978282;
32;0;0.977466;0;0.978282;0;0;0;0.978282;
33;0;0.977466;0;0.978282;0;0;0;0.978282;
34;0;0.977466;0;0.978282;0;0;0;0.978282;
35;0;0.977466;0;0.978282;0;0;0;0.978282;
36;0;0.977466;0;0.978282;0;0;0;0.978282;
37;0;0.977466;0;0.978282;0;0;0;0.978282;
38;0;0.977466;0;0.978282;0;0;0;0.978282;
39;0;0.977466;0;0.978282;0;0;0;0.978282;
40;0;0.977466;0;0.978282;0;0;0;0.978282;
41;0;0.977466;0;0.978282;0;0;0;0.978282;
42;0;0.977466;0;0.978282;0;0;0;0.978282;
43;0;0.977466;0;0.978282;0;0;0;0.978282;
44;0;0.976728;0;0.976792;0;0;0;0.976792;
45;0;0.976728;0;0.976792;0;0;0;0.976792;
46;0;0.976728;0;0.976792;0;0;0;0.976792;
47;0;0.976728;0;0.976792;0;0;0;0.976792;
48;0;0.976728;0;0.976792;0;0;0;0.976792;
49;0;0.976728;0;0.976792;0;0;0;0.976792;
50;0;0.976728;0;0.976792;0;0;0;0.976792;
51;0;0.976728;0;0.976792;0;0;0;0.976792;
52;0;0.976728;0;0.976792;0;0;0;0.976792;
53;0;0.976728;0;0.976792;0;0;0;0.976792;
54;0;0.976728;0;0.976792;0;0;0;0.976792;
55;0;0.976728;0;0.976792;0;0;0;0.976792;
56;0;0.976728;0;0.976792;0;0;0;0.976792;
57;0;0.976728;0;0.976792;0;0;0;0.976792;
58;0;0.976728;0;0.976792;0;0;0;0.976792;
59;0;0.976728;0;0.976792;0;0;0;0.976792;
60;0;0.976728;0;0.976792;0;0;0;0.976792;
61;0;0.976728;0;0.976792;0;0;0;0.976792;
62;0;0.976728;0;0.976792;0;0;0;0.976792;
63;0;0.975221;0;0.975284;0;0;0;0.975284;
64;0;0.975221;0;0.975284;0;0;0;0.975284;
65;0;0.975221;0;0.975284;0;0;0;0.975284;
66;0;0.975221;0;0.975284;0;0;0;0.975284;
67;0;0.975221;0;0.975284;0;0;0;0.975284;
68;0;0.975221;0;0.975284;0;0;0;0.975284;
69;0;0.975221;0;0.975284;0;0;0;0.975284;
70;0;0.975221;0;0.975284;0;0;0;0.975284;
71;0;0.975221;0;0.975284;0;0;0;0.975284;
72;0;0.975221;0;0.975284;0;0;0;0.975284;
73;0;0.975221;0;0.975284;0;0;0;0.975284;
