# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.989422;0;0.989451;0;0;0;0.989451;
2;0;0.989422;0;0.989451;0;0;0;0.989451;
3;0;0.989422;0;0.989451;0;0;0;0.989451;
4;0;0.989422;0;0.989451;0;0;0;0.989451;
5;0;0.989422;0;0.989451;0;0;0;0.989451;
6;0;0.989422;0;0.989451;0;0;0;0.989451;
7;0;0.989422;0;0.989451;0;0;0;0.989451;
8;0;0.989422;0;0.989451;0;0;0;0.989451;
9;0;0.989422;0;0.989451;0;0;0;0.989451;
10;0;0.989422;0;0.989451;0;0;0;0.989451;
11;0;0.989422;0;0.989451;0;0;0;0.989451;
12;0;0.989422;0;0.989451;0;0;0;0.989451;
13;0;0.989422;0;0.989451;0;0;0;0.989451;
14;0;0.989422;0;0.989451;0;0;0;0.989451;
15;0;0.989422;0;0.989451;0;0;0;0.989451;
16;0;0.989422;0;0.989451;0;0;0;0.989451;
17;0;0.989422;0;0.989451;0;0;0;0.989451;
18;0;0.989422;0;0.989451;0;0;0;0.989451;
19;0;0.989422;0;0.989451;0;0;0;0.989451;
20;0;0.989422;0;0.989451;0;0;0;0.989451;
21;0;0.989422;0;0.989451;0;0;0;0.989451;
22;0;0.989422;0;0.989451;0;0;0;0.989451;
23;0;0.989422;0;0.989451;0;0;0;0.989451;
24;0;0.989422;0;0.989451;0;0;0;0.989451;
25;0;0.989422;0;0.989451;0;0;0;0.989451;
26;0;0.989422;0;0.989451;0;0;0;0.989451;
27;0;0.989422;0;0.989451;0;0;0;0.989451;
28;0;0.989422;0;0.989451;0;0;0;0.989451;
29;0;0.988412;0;0.988441;0;0;0;0.988441;
30;0;0.988412;0;0.988441;0;0;0;0.988441;
31;0;0.988412;0;0.988441;0;0;0;0.988441;
32;0;0.988412;0;0.988441;0;0;0;0.988441;
33;0;0.988412;0;0.988441;0;0;0;0.988441;
34;0;0.988412;0;0.988441;0;0;0;0.988441;
35;0;0.988412;0;0.988441;0;0;0;0.988441;
36;0;0.988412;0;0.988441;0;0;0;0.988441;
