# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.988402;0;0.988431;0;0;0;0.988431;
2;0;0.988402;0;0.988431;0;0;0;0.988431;
3;0;0.988402;0;0.988431;0;0;0;0.988431;
4;0;0.988402;0;0.988431;0;0;0;0.988431;
5;0;0.988402;0;0.988431;0;0;0;0.988431;
6;0;0.988402;0;0.988431;0;0;0;0.988431;
7;0;0.988402;0;0.988431;0;0;0;0.988431;
8;0;0.988402;0;0.988431;0;0;0;0.988431;
9;0;0.988402;0;0.988431;0;0;0;0.988431;
10;0;0.988402;0;0.988431;0;0;0;0.988431;
11;0;0.988402;0;0.988431;0;0;0;0.988431;
12;0;0.987304;0;0.987321;0;0;0;0.987321;
13;0;0.987304;0;0.987321;0;0;0;0.987321;
14;0;0.987304;0;0.987321;0;0;0;0.987321;
15;0;0.987304;0;0.987321;0;0;0;0.987321;
16;0;0.987304;0;0.987321;0;0;0;0.987321;
17;0;0.987304;0.0028125;0.987321;0.006875;0;-0.0040625;0.987321;
18;0;0.987304;0;0.987321;0;0;0;0.987321;
19;0;0.987304;0;0.987321;0;0;0;0.987321;
20;0;0.987304;0;0.987321;0;0;0;0.987321;
21;0;0.987304;0;0.987321;0;0;0;0.987321;
22;0;0.986125;0;0.986154;0;0;0;0.986154;
23;0;0.986125;0;0.986154;0;0;0;0.986154;
24;0;0.986125;0;0.986154;0;0;0;0.986154;
25;0;0.986125;0;0.986154;0;0;0;0.986154;
26;0;0.986125;0;0.986154;0;0;0;0.986154;
27;0;0.986125;0.00421875;0.986154;0.009375;0;-0.00515625;0.986154;
28;0;0.986125;0;0.986154;0;0;0;0.986154;
29;0;0.986125;0;0.986154;0;0;0;0.986154;
30;0;0.986125;0;0.986154;0;0;0;0.986154;
