# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.988402;0;0.988431;0;0;0;0.988431;
2;0;0.988402;0;0.988431;0;0;0;0.988431;
3;0;0.988402;0;0.988431;0;0;0;0.988431;
4;0;0.988402;0;0.988431;0;0;0;0.988431;
5;0;0.988402;0;0.988431;0;0;0;0.988431;
6;0;0.987304;0;0.987321;0;0;0;0.987321;
7;0;0.987304;0;0.987321;0;0;0;0.987321;
8;0;0.987304;0;0.987321;0;0;0;0.987321;
9;0;0.987304;0;0.987321;0;0;0;0.987321;
10;0;0.987304;0;0.987321;0;0;0;0.987321;
11;0;0.986125;0.0028125;0.986154;0.006875;0;-0.0040625;0.986154;
12;0;0.986125;0;0.986154;0;0;0;0.986154;
13;0;0.986125;0;0.986154;0;0;0;0.986154;
14;0;0.986125;0;0.986154;0;0;0;0.986154;
15;0;0.986125;0;0.986154;0;0;0;0.986154;
16;0;0.984966;0.00421875;0.984998;0.009375;0;-0.00515625;0.984998;
17;0;0.984966;0;0.984998;0;0;0;0.984998;
18;0;0.984966;0;0.984998;0;0;0;0.984998;
19;0;0.984966;0;0.984998;0;0;0;0.984998;
20;0;0.983703;0;0.98374;0;0;0;0.98374;
21;0;0.983703;0.0084375;0.98374;0.0125;0;-0.0040625;0.98374;
22;0;0.983703;0;0.98374;0;0;0;0.98374;
23;0;0.983703;0;0.98374;0;0;0;0.98374;
24;0;0.981458;0;0.982417;0;0;0;0.982417;
25;0;0.981458;0.0084375;0.982417;0.0125;0;-0.0040625;0.982417;
26;0;0.981458;0;0.982417;0;0;0;0.982417;
27;0;0.981458;0;0.982417;0;0;0;0.982417;
28;0;0.97951;0;0.981096;0;0;0;0.981096;
