# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;1.9768;0;1.97686;0;0;0;1.97686;
2;0;1.9768;0;1.97686;0;0;0;1.97686;
3;0;1.9768;0;1.97686;0;0;0;1.97686;
4;0;1.9768;0;1.97686;0;0;0;1.97686;
5;0;1.9768;0;1.97686;0;0;0;1.97686;
6;0;1.9768;0;1.97686;0;0;0;1.97686;
7;0;1.9768;0;1.97686;0;0;0;1.97686;
8;0;1.9768;0;1.97686;0;0;0;1.97686;
9;0;1.9768;0;1.97686;0;0;0;1.97686;
10;0;1.9768;0;1.97686;0;0;0;1.97686;
11;0;1.9768;0;1.97686;0;0;0;1.97686;
12;0;1.9768;0;1.97686;0;0;0;1.97686;
13;0;1.9768;0;1.97686;0;0;0;1.97686;
14;0;1.9768;0;1.97686;0;0;0;1.97686;
15;0;1.9768;0;1.97686;0;0;0;1.97686;
16;0;1.9768;0;1.97686;0;0;0;1.97686;
17;0;1.9768;0;1.97686;0;0;0;1.97686;
18;0;1.9768;0;1.97686;0;0;0;1.97686;
19;0;1.9768;0;1.97686;0;0;0;1.97686;
20;0;1.9768;0;1.97686;0;0;0;1.97686;
21;0;1.9768;0;1.97686;0;0;0;1.97686;
22;0;1.9768;0;1.97686;0;0;0;1.97686;
23;0;1.9768;0;1.97686;0;0;0;1.97686;
24;0;1.9768;0;1.97686;0;0;0;1.97686;
25;0;1.9768;0;1.97686;0;0;0;1.97686;
26;0;1.9768;0;1.97686;0;0;0;1.97686;
27;0;1.9768;0;1.97686;0;0;0;1.97686;
28;0;1.9768;0;1.97686;0;0;0;1.97686;
29;0;1.9768;0;1.97686;0;0;0;1.97686;
30;0;1.9768;0;1.97686;0;0;0;1.97686;
31;0;1.9768;0;1.97686;0;0;0;1.97686;
32;0;1.9768;0;1.97686;0;0;0;1.97686;
33;0;1.9768;0;1.97686;0;0;0;1.97686;
34;0;1.9768;0;1.97686;0;0;0;1.97686;
35;0;1.9768;0;1.97686;0;0;0;1.97686;
36;0;1.9768;0;1.97686;0;0;0;1.97686;
37;0;1.97461;0;1.97464;0;0;0;1.97464;
38;0;1.97461;0;1.97464;0;0;0;1.97464;
39;0;1.97461;0;1.97464;0;0;0;1.97464;
40;0;1.97461;0;1.97464;0;0;0;1.97464;
41;0;1.97461;0;1.97464;0;0;0;1.97464;
42;0;1.97461;0.0028125;1.97464;0.006875;0;-0.0040625;1.97464;
43;0;1.97461;0;1.97464;0;0;0;1.97464;
44;0;1.97461;0;1.97464;0;0;0;1.97464;
45;0;1.97461;0;1.97464;0;0;0;1.97464;
46;0;1.97461;0;1.97464;0;0;0;1.97464;
47;0;1.97461;0;1.97464;0;0;0;1.97464;
48;0;1.97461;0;1.97464;0;0;0;1.97464;
49;0;1.97461;0;1.97464;0;0;0;1.97464;
50;0;1.97461;0;1.97464;0;0;0;1.97464;
51;0;1.97461;0;1.97464;0;0;0;1.97464;
52;0;1.97461;0;1.97464;0;0;0;1.97464;
53;0;1.97461;0;1.97464;0;0;0;1.97464;
54;0;1.97461;0;1.97464;0;0;0;1.97464;
55;0;1.97461;0;1.97464;0;0;0;1.97464;
56;0;1.97461;0;1.97464;0;0;0;1.97464;
57;0;1.97461;0;1.97464;0;0;0;1.97464;
58;0;1.97461;0;1.97464;0;0;0;1.97464;
59;0;1.97461;0;1.97464;0;0;0;1.97464;
60;0;1.97461;0;1.97464;0;0;0;1.97464;
61;0;1.97461;0;1.97464;0;0;0;1.97464;
62;0;1.97461;0;1.97464;0;0;0;1.97464;
63;0;1.97461;0;1.97464;0;0;0;1.97464;
64;0;1.97461;0;1.97464;0;0;0;1.97464;
65;0;1.97461;0;1.97464;0;0;0;1.97464;
66;0;1.97461;0;1.97464;0;0;0;1.97464;
67;0;1.97461;0;1.97464;0;0;0;1.97464;
68;0;1.97461;0;1.97464;0;0;0;1.97464;
69;0;1.97461;0;1.97464;0;0;0;1.97464;
70;0;1.97461;0;1.97464;0;0;0;1.97464;
71;0;1.97225;0;1.97231;0;0;0;1.97231;
72;0;1.97225;0;1.97231;0;0;0;1.97231;
73;0;1.97225;0;1.97231;0;0;0;1.97231;
74;0;1.97225;0;1.97231;0;0;0;1.97231;
75;0;1.97225;0;1.97231;0;0;0;1.97231;
76;0;1.97225;0.005625;1.97231;0.01125;0;-0.005625;1.97231;
77;0;1.97225;0;1.97231;0;0;0;1.97231;
78;0;1.97225;0;1.97231;0;0;0;1.97231;
79;0;1.97225;0;1.97231;0;0;0;1.97231;
80;0;1.97225;0;1.97231;0;0;0;1.97231;
81;0;1.97225;0;1.97231;0;0;0;1.97231;
82;0;1.97225;0;1.97231;0;0;0;1.97231;
83;0;1.97225;0;1.97231;0;0;0;1.97231;
84;0;1.97225;0;1.97231;0;0;0;1.97231;
85;0;1.97225;0;1.97231;0;0;0;1.97231;
86;0;1.97225;0;1.97231;0;0;0;1.97231;
87;0;1.97225;0;1.97231;0;0;0;1.97231;
88;0;1.97225;0;1.97231;0;0;0;1.97231;
89;0;1.97225;0;1.97231;0;0;0;1.97231;
90;0;1.97225;0;1.97231;0;0;0;1.97231;
91;0;1.97225;0;1.97231;0;0;0;1.97231;
92;0;1.97225;0;1.97231;0;0;0;1.97231;
93;0;1.97225;0;1.97231;0;0;0;1.97231;
94;0;1.97225;0;1.97231;0;0;0;1.97231;
95;0;1.97225;0;1.97231;0;0;0;1.97231;
96;0;1.97225;0;1.97231;0;0;0;1.97231;
97;0;1.97225;0;1.97231;0;0;0;1.97231;
98;0;1.97225;0;1.97231;0;0;0;1.97231;
