# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
# "LGMD WTA"=CB1484055328CB1483972485L-3491-1483630309-919331471
# "Hue"=L-3415-1482226533-719885386
cycle;CB1484055328CB1483972485L-3491-1483630309-919331471_act_RangeAverage;L-3415-1482226533-719885386_act_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_excIn_RangeAverage;L-3415-1482226533-719885386_excIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_inhIn_RangeAverage;L-3415-1482226533-719885386_inhIn_RangeAverage;CB1484055328CB1483972485L-3491-1483630309-919331471_vm_RangeAverage;L-3415-1482226533-719885386_vm_RangeAverage;
0;0;0;0;0;0;0;0;0;
1;0;0.989417;0;0.989439;0;0;0;0.989439;
2;0;0.989417;0;0.989439;0;0;0;0.989439;
3;0;0.989417;0;0.989439;0;0;0;0.989439;
4;0;0.989417;0;0.989439;0;0;0;0.989439;
5;0;0.989417;0;0.989439;0;0;0;0.989439;
6;0;0.989417;0.0028125;0.989439;0.00375;0;-0.0009375;0.989439;
7;0;0.989417;0;0.989439;0;0;0;0.989439;
8;0;0.989417;0;0.989439;0;0;0;0.989439;
9;0;0.989417;0;0.989439;0;0;0;0.989439;
10;0;0.989417;0;0.989439;0;0;0;0.989439;
11;0;0.989417;0;0.989439;0;0;0;0.989439;
12;0;0.989417;0;0.989439;0;0;0;0.989439;
13;0;0.989417;0;0.989439;0;0;0;0.989439;
14;0;0.989417;0;0.989439;0;0;0;0.989439;
15;0;0.989417;0;0.989439;0;0;0;0.989439;
16;0;0.989417;0;0.989439;0;0;0;0.989439;
17;0;0.989417;0;0.989439;0;0;0;0.989439;
18;0;0.989417;0;0.989439;0;0;0;0.989439;
19;0;0.989417;0;0.989439;0;0;0;0.989439;
20;0;0.989417;0;0.989439;0;0;0;0.989439;
21;0;0.989417;0;0.989439;0;0;0;0.989439;
22;0;0.989417;0;0.989439;0;0;0;0.989439;
23;0;0.989417;0;0.989439;0;0;0;0.989439;
24;0;0.989417;0;0.989439;0;0;0;0.989439;
25;0;0.989417;0;0.989439;0;0;0;0.989439;
26;0;0.989417;0;0.989439;0;0;0;0.989439;
27;0;0.989417;0;0.989439;0;0;0;0.989439;
28;0;0.989417;0;0.989439;0;0;0;0.989439;
29;0;0.988402;0;0.988431;0;0;0;0.988431;
30;0;0.988402;0;0.988431;0;0;0;0.988431;
31;0;0.988402;0;0.988431;0;0;0;0.988431;
32;0;0.988402;0;0.988431;0;0;0;0.988431;
33;0;0.988402;0;0.988431;0;0;0;0.988431;
34;0;0.988402;0;0.988431;0;0;0;0.988431;
35;0;0.988402;0;0.988431;0;0;0;0.988431;
36;0;0.988402;0;0.988431;0;0;0;0.988431;
37;0;0.988402;0;0.988431;0;0;0;0.988431;
38;0;0.988402;0;0.988431;0;0;0;0.988431;
39;0;0.988402;0;0.988431;0;0;0;0.988431;
40;0;0.988402;0;0.988431;0;0;0;0.988431;
41;0;0.988402;0;0.988431;0;0;0;0.988431;
42;0;0.988402;0;0.988431;0;0;0;0.988431;
43;0;0.988402;0;0.988431;0;0;0;0.988431;
44;0;0.988402;0;0.988431;0;0;0;0.988431;
45;0;0.988402;0;0.988431;0;0;0;0.988431;
46;0;0.988402;0;0.988431;0;0;0;0.988431;
47;0;0.988402;0;0.988431;0;0;0;0.988431;
48;0;0.988402;0;0.988431;0;0;0;0.988431;
49;0;0.988402;0;0.988431;0;0;0;0.988431;
50;0;0.988402;0;0.988431;0;0;0;0.988431;
51;0;0.988402;0;0.988431;0;0;0;0.988431;
52;0;0.988402;0;0.988431;0;0;0;0.988431;
53;0;0.988402;0;0.988431;0;0;0;0.988431;
54;0;0.988402;0;0.988431;0;0;0;0.988431;
55;0;0.987304;0;0.987321;0;0;0;0.987321;
56;0;0.987304;0;0.987321;0;0;0;0.987321;
57;0;0.987304;0;0.987321;0;0;0;0.987321;
58;0;0.987304;0;0.987321;0;0;0;0.987321;
59;0;0.987304;0;0.987321;0;0;0;0.987321;
